"","State","Years","Median_Bach","Bach_M_Median","Bach_F_Median","Median_Grad","Grad_M_Median","Grad_F_Median"
"75","Georgia",2020,"54,594","(X)","(X)","69,501","(X)","(X)"
"76","Georgia",2019,"53,662","(X)","(X)","70,027","(X)","(X)"
"77","Georgia",2018,"54,692","(X)","(X)","67,375","(X)","(X)"
"78","Georgia",2017,"51,915","(X)","(X)","65,479","(X)","(X)"
"79","Georgia",2016,"50,962","(X)","(X)","62,819","(X)","(X)"
"80","Georgia",2015,"49,696","(X)","(X)","61,443","(X)","(X)"
"81","Hawaii",2022,"61,880","(X)","(X)","79,653","(X)","(X)"
"82","Hawaii",2021,"55,171","(X)","(X)","73,122","(X)","(X)"
"83","Hawaii",2020,"52,264","(X)","(X)","71,768","(X)","(X)"
"84","Hawaii",2019,"52,183","(X)","(X)","72,035","(X)","(X)"
"85","Hawaii",2018,"50,463","(X)","(X)","69,668","(X)","(X)"
"86","Hawaii",2017,"50,803","(X)","(X)","67,836","(X)","(X)"
"87","Hawaii",2016,"49,440","(X)","(X)","64,283","(X)","(X)"
"88","Hawaii",2015,"46,167","(X)","(X)","65,094","(X)","(X)"
"89","Idaho",2022,"54,796","(X)","(X)","72,869","(X)","(X)"
"90","Idaho",2021,"50,581","(X)","(X)","68,649","(X)","(X)"
"91","Idaho",2020,"45,572","(X)","(X)","63,918","(X)","(X)"
"92","Idaho",2019,"46,364","(X)","(X)","60,816","(X)","(X)"
"93","Idaho",2018,"44,469","(X)","(X)","61,876","(X)","(X)"
"94","Idaho",2017,"42,188","(X)","(X)","60,976","(X)","(X)"
"95","Idaho",2016,"41,343","(X)","(X)","60,084","(X)","(X)"
"96","Idaho",2015,"42,661","(X)","(X)","57,829","(X)","(X)"
"97","Illinois",2022,"68,489","(X)","(X)","84,140","(X)","(X)"
"98","Illinois",2021,"63,725","(X)","(X)","81,737","(X)","(X)"
"99","Illinois",2020,"60,045","(X)","(X)","77,135","(X)","(X)"
"100","Illinois",2019,"60,357","(X)","(X)","76,363","(X)","(X)"
"101","Illinois",2018,"57,357","(X)","(X)","75,802","(X)","(X)"
"102","Illinois",2017,"56,643","(X)","(X)","73,296","(X)","(X)"
"103","Illinois",2016,"55,161","(X)","(X)","70,924","(X)","(X)"
"104","Illinois",2015,"52,369","(X)","(X)","70,580","(X)","(X)"
"105","Indiana",2022,"58,609","(X)","(X)","73,559","(X)","(X)"
"106","Indiana",2021,"54,525","(X)","(X)","70,183","(X)","(X)"
"107","Indiana",2020,"51,475","(X)","(X)","65,658","(X)","(X)"
"108","Indiana",2019,"50,630","(X)","(X)","65,941","(X)","(X)"
"109","Indiana",2018,"49,851","(X)","(X)","62,726","(X)","(X)"
"110","Indiana",2017,"50,294","(X)","(X)","62,356","(X)","(X)"
"111","Indiana",2016,"48,790","(X)","(X)","60,620","(X)","(X)"
"112","Indiana",2015,"46,884","(X)","(X)","60,699","(X)","(X)"
"113","Iowa",2022,"58,561","(X)","(X)","73,926","(X)","(X)"
"114","Iowa",2021,"55,434","(X)","(X)","70,977","(X)","(X)"
"115","Iowa",2020,"52,475","(X)","(X)","68,771","(X)","(X)"
"116","Iowa",2019,"51,751","(X)","(X)","66,887","(X)","(X)"
"117","Iowa",2018,"51,620","(X)","(X)","67,140","(X)","(X)"
"118","Iowa",2017,"50,840","(X)","(X)","64,908","(X)","(X)"
"119","Iowa",2016,"48,207","(X)","(X)","64,417","(X)","(X)"
"120","Iowa",2015,"46,518","(X)","(X)","61,206","(X)","(X)"
"121","Kansas",2022,"58,583","(X)","(X)","70,216","(X)","(X)"
"122","Kansas",2021,"55,916","(X)","(X)","67,095","(X)","(X)"
"123","Kansas",2020,"51,415","(X)","(X)","63,299","(X)","(X)"
"124","Kansas",2019,"51,678","(X)","(X)","62,008","(X)","(X)"
"125","Kansas",2018,"49,852","(X)","(X)","61,361","(X)","(X)"
"126","Kansas",2017,"49,257","(X)","(X)","61,088","(X)","(X)"
"127","Kansas",2016,"46,772","(X)","(X)","57,533","(X)","(X)"
"128","Kansas",2015,"46,436","(X)","(X)","59,574","(X)","(X)"
"129","Kentucky",2022,"55,682","(X)","(X)","67,351","(X)","(X)"
"130","Kentucky",2021,"51,906","(X)","(X)","62,124","(X)","(X)"
"131","Kentucky",2020,"50,633","(X)","(X)","59,235","(X)","(X)"
"132","Kentucky",2019,"50,711","(X)","(X)","60,270","(X)","(X)"
"133","Kentucky",2018,"50,146","(X)","(X)","56,623","(X)","(X)"
"134","Kentucky",2017,"46,881","(X)","(X)","56,704","(X)","(X)"
"135","Kentucky",2016,"47,610","(X)","(X)","56,285","(X)","(X)"
"136","Kentucky",2015,"45,058","(X)","(X)","53,986","(X)","(X)"
"137","Louisiana",2022,"55,685","(X)","(X)","65,857","(X)","(X)"
"138","Louisiana",2021,"52,491","(X)","(X)","63,934","(X)","(X)"
"139","Louisiana",2020,"50,723","(X)","(X)","59,628","(X)","(X)"
"140","Louisiana",2019,"50,699","(X)","(X)","60,992","(X)","(X)"
"141","Louisiana",2018,"50,273","(X)","(X)","57,058","(X)","(X)"
"142","Louisiana",2017,"48,795","(X)","(X)","58,960","(X)","(X)"
"143","Louisiana",2016,"46,163","(X)","(X)","57,210","(X)","(X)"
"144","Louisiana",2015,"46,367","(X)","(X)","57,131","(X)","(X)"
"145","Maine",2022,"53,866","(X)","(X)","69,390","(X)","(X)"
"146","Maine",2021,"51,486","(X)","(X)","68,177","(X)","(X)"
"147","Maine",2020,"46,733","(X)","(X)","60,944","(X)","(X)"
"148","Maine",2019,"47,375","(X)","(X)","60,347","(X)","(X)"
"149","Maine",2018,"43,809","(X)","(X)","60,013","(X)","(X)"
"150","Maine",2017,"44,118","(X)","(X)","58,537","(X)","(X)"
"151","Maine",2016,"43,559","(X)","(X)","56,855","(X)","(X)"
"152","Maine",2015,"41,214","(X)","(X)","54,528","(X)","(X)"
"153","Maryland",2022,"76,711","(X)","(X)","99,484","(X)","(X)"
"154","Maryland",2021,"71,896","(X)","(X)","93,565","(X)","(X)"
"155","Maryland",2020,"65,441","(X)","(X)","89,159","(X)","(X)"
"156","Maryland",2019,"65,193","(X)","(X)","89,066","(X)","(X)"
"157","Maryland",2018,"63,399","(X)","(X)","86,118","(X)","(X)"
"158","Maryland",2017,"61,640","(X)","(X)","82,432","(X)","(X)"
"159","Maryland",2016,"61,049","(X)","(X)","82,479","(X)","(X)"
"160","Maryland",2015,"60,745","(X)","(X)","81,087","(X)","(X)"
"161","Massachusetts",2022,"77,137","(X)","(X)","95,136","(X)","(X)"
"162","Massachusetts",2021,"71,344","(X)","(X)","90,944","(X)","(X)"
"163","Massachusetts",2020,"65,496","(X)","(X)","84,800","(X)","(X)"
"164","Massachusetts",2019,"65,373","(X)","(X)","85,717","(X)","(X)"
"165","Massachusetts",2018,"62,154","(X)","(X)","81,469","(X)","(X)"
"166","Massachusetts",2017,"62,167","(X)","(X)","79,988","(X)","(X)"
"167","Massachusetts",2016,"60,503","(X)","(X)","76,972","(X)","(X)"
"168","Massachusetts",2015,"57,285","(X)","(X)","74,405","(X)","(X)"
"169","Michigan",2022,"63,077","(X)","(X)","78,984","(X)","(X)"
"170","Michigan",2021,"59,740","(X)","(X)","75,841","(X)","(X)"
"171","Michigan",2020,"54,452","(X)","(X)","72,730","(X)","(X)"
"172","Michigan",2019,"54,634","(X)","(X)","71,623","(X)","(X)"
"173","Michigan",2018,"52,352","(X)","(X)","71,057","(X)","(X)"
"174","Michigan",2017,"51,527","(X)","(X)","70,518","(X)","(X)"
"175","Michigan",2016,"50,821","(X)","(X)","68,906","(X)","(X)"
"176","Michigan",2015,"49,839","(X)","(X)","66,580","(X)","(X)"
"177","Minnesota",2022,"68,504","(X)","(X)","82,324","(X)","(X)"
