"","State","Years","Median_Bach","Bach_M_Median","Bach_F_Median","Median_Grad","Grad_M_Median","Grad_F_Median"
"371","Washington",2020,"63,477","(X)","(X)","83,120","(X)","(X)"
"372","Washington",2019,"62,447","(X)","(X)","86,167","(X)","(X)"
"373","Washington",2018,"61,135","(X)","(X)","80,520","(X)","(X)"
"374","Washington",2017,"59,662","(X)","(X)","76,407","(X)","(X)"
"375","Washington",2016,"58,262","(X)","(X)","72,335","(X)","(X)"
"376","Washington",2015,"55,795","(X)","(X)","71,123","(X)","(X)"
"377","West Virginia",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"378","West Virginia",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"379","West Virginia",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"380","West Virginia",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"381","West Virginia",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"382","West Virginia",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"383","West Virginia",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"384","West Virginia",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"385","Wisconsin",2022,"61,428","(X)","(X)","75,811","(X)","(X)"
"386","Wisconsin",2021,"58,745","(X)","(X)","70,880","(X)","(X)"
"387","Wisconsin",2020,"53,594","(X)","(X)","67,272","(X)","(X)"
"388","Wisconsin",2019,"52,425","(X)","(X)","67,112","(X)","(X)"
"389","Wisconsin",2018,"51,879","(X)","(X)","65,974","(X)","(X)"
"390","Wisconsin",2017,"51,162","(X)","(X)","65,006","(X)","(X)"
"391","Wisconsin",2016,"50,323","(X)","(X)","62,487","(X)","(X)"
"392","Wisconsin",2015,"47,383","(X)","(X)","61,217","(X)","(X)"
"393","Wyoming",2022,"54,129","(X)","(X)","68,506","(X)","(X)"
"394","Wyoming",2021,"50,596","(X)","(X)","70,910","(X)","(X)"
"395","Wyoming",2020,"51,152","(X)","(X)","61,689","(X)","(X)"
"396","Wyoming",2019,"47,962","(X)","(X)","61,288","(X)","(X)"
"397","Wyoming",2018,"47,980","(X)","(X)","57,555","(X)","(X)"
"398","Wyoming",2017,"47,546","(X)","(X)","58,518","(X)","(X)"
"399","Wyoming",2016,"47,322","(X)","(X)","59,833","(X)","(X)"
"400","Wyoming",2015,"46,092","(X)","(X)","61,476","(X)","(X)"
"401","Puerto Rico",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"402","Puerto Rico",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"403","Puerto Rico",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"404","Puerto Rico",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"405","Puerto Rico",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"406","Puerto Rico",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"407","Puerto Rico",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"408","Puerto Rico",2015,NA,"(X)","(X)",NA,"(X)","(X)"
